	HypoPNAF1CNT1	HypoPNAF1CNT3	HypoPNAF1CNT4	HypoPNAF1DHT2	HypoPNAF1DHT4
Proser2	1	0	0	0	0
Echdc3	0	0	0	1	2
Usp6nl	0	2	1	0	1
Celf2	0	1	2	3	4
Gm26315	0	2	1	0	0
Taf3	0	0	0	1	1
Atp5c1	13	13	12	20	18
Kin	0	0	1	2	2
Itih2	0	0	0	3	3
Itih5	1	2	2	6	7
Pfkfb3	0	0	0	1	4
Rbm17	0	2	1	2	2
Il15ra	1	0	0	0	0
Fbxo18	0	2	1	2	2
Ankrd16	2	0	0	2	1
Mindy3	0	0	0	1	2
Pter	0	0	0	0	1
C1ql3	0	0	0	0	0
Rsu1	0	2	0	4	3
Vim	1	5	5	12	20
St8sia6	0	0	0	0	0
Hacd1	1	0	1	0	0
Stam	0	1	2	1	2
Mrc1	0	0	0	0	0
Slc39a12	2	0	1	0	0
Cacnb2	1	0	1	0	1
Gm13268	1	0	3	0	3
Nsun6	0	0	0	1	0
Arl5b	0	1	0	0	2
Plxdc2	1	0	1	1	4
Nebl	1	1	2	0	1
Mllt10	0	0	2	1	3
D0jc1	1	1	1	2	1
Commd3	2	6	0	5	7
Pip4k2a	2	0	2	2	0
Msrb2	2	1	3	5	2
Etl4	2	0	1	1	0
Arhgap21	1	0	0	0	2
Gpr158	1	0	1	0	0
Gm13341	4	7	3	6	12
Gm13340	9	13	9	6	10
Gm13339	6	1	4	1	2
Gad2	1	1	0	1	0
Apbb1ip	2	0	1	0	0
Pdss1	0	0	1	0	1
Abi1	1	1	1	2	2
Acbd5	3	0	0	2	2
Yme1l1	0	0	1	2	2
Spopl	1	0	0	0	1
Hnmt	1	1	0	0	0
Psd4	0	1	0	1	0
Cac01b	3	0	1	0	2
