	OvaryNF1	OvaryNF2	OvaryNF3	OvaryNF4	OvaryB1	OvaryB3	OvaryB4
AC122335.1	4	3	1	3	5	3	5
Cfap54	6	10	8	5	12	4	3
Cdk17	15	40	36	38	56	48	43
Mir1931	0	0	0	0	2	2	0
Elk3	42	70	61	50	78	66	49
Gm32688	3	5	9	4	5	9	6
Gm17745	2	1	2	0	1	1	1
Mir7688	0	0	0	0	1	0	0
Lta4h	54	120	156	115	193	124	126
Hal	0	1	0	1	4	3	4
Amdhd1	1	3	2	28	74	30	2
Ccdc38	0	1	3	1	1	0	2
Snrpf	336	557	585	451	783	755	757
4933408J17Rik	0	0	0	0	1	0	0
Ntn4	20	38	29	23	54	54	30
Gm8580	0	1	1	1	0	0	0
Gm15915	7	15	3	1	9	4	9
Gm15963	0	0	0	0	0	0	0
Gm3571	50	55	50	77	337	166	147
Metap2	282	506	464	404	520	477	400
Vezt	33	43	26	34	50	44	28
AC122901.1	1	2	0	0	1	2	0
Fgd6	8	18	12	10	25	15	10
Nr2c1	13	33	33	25	31	29	28
Ndufa12	548	888	987	762	1083	1037	782
Tmcc3	13	30	24	24	43	29	31
Gm16155	0	1	0	0	1	0	0
Cep83os	8	11	22	15	23	22	13
Gm49167	0	0	1	0	0	0	0
Cep83	25	36	21	28	40	49	31
Plxnc1	73	148	142	101	126	128	83
Gm29684	0	1	2	5	0	7	1
Gm33091	0	3	0	1	2	1	1
Cradd	33	68	69	53	66	68	46
Gm48880	1	3	1	2	4	7	3
Gm48882	12	28	23	13	24	18	29
2310039L15Rik	1	0	1	0	0	1	0
Socs2	185	413	375	365	452	431	338
5730420D15Rik	0	3	3	0	0	3	2
Mrpl42	207	374	397	306	508	354	311
Ube2n	154	309	359	285	418	280	234
Nudt4	177	357	298	304	435	453	324
Mir3058	0	0	0	0	0	1	0
A0pc15-ps	0	0	0	0	0	0	0
Gm47708	0	0	0	0	0	0	0
4732465J04Rik	1	3	2	0	2	0	0
Gm47724	0	0	2	2	2	1	0
Eea1	38	68	79	66	85	63	59
Gm5426	0	1	0	0	0	0	0
Gm20091	0	0	0	0	0	1	1
