	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1DHT1	OvaryPNAF1DHT2	OvaryPNAF1DHT4
Ttll4	42	79	82	55	42	78
Cyp27a1	8	37	68	17	15	22
Prkag3	0	0	2	0	0	0
Wnt6	61	224	36	66	60	197
Gm29539	1	1	2	0	0	0
Wnt10a	20	66	7	27	32	64
Cdk5r2	0	0	0	1	0	0
Cfap65	0	1	0	6	0	1
Ihh	5	32	42	9	5	15
Nhej1	10	28	17	8	9	19
Slc23a3	6	10	13	7	5	15
Cnppd1	73	167	114	80	61	181
Retreg2	52	150	118	58	40	234
Zfand2b	20	90	85	30	21	105
Abcb6	3	3	2	3	0	6
Atg9a	12	21	9	6	6	10
Ankzf1	25	110	82	57	18	59
Glb1l	11	40	46	19	8	38
Stk16	58	228	160	92	77	186
Tuba4a	16	47	31	25	12	34
D0jb2	50	172	209	66	50	180
Ptprn	19	41	1	20	11	67
Gm28294	0	0	0	0	1	0
Resp18	0	0	1	0	0	0
Dnpep	197	484	383	240	148	464
Des	92	239	146	60	64	181
Speg	53	80	69	45	34	83
Gmppa	55	222	125	77	65	187
Asic4	2	5	7	2	0	2
Chpf	35	136	96	36	27	90
Obsl1	113	362	410	142	84	341
Tmem198	3	5	11	1	2	6
Inha	749	2256	3630	1116	727	1558
Gm15181	0	0	1	2	0	0
Stk11ip	28	80	60	30	20	75
Slc4a3	42	167	78	63	59	257
Gm5257	0	5	5	3	0	11
Gm17751	0	0	3	1	0	3
Epha4	6	10	10	6	2	9
Gm28387	1	1	0	1	0	1
Sgpp2	8	9	14	3	5	24
Gm28410	1	8	8	4	7	11
Gm37884	0	0	1	0	0	0
Farsb	91	167	128	95	69	182
4833412K13Rik	8	13	20	7	5	17
Mogat1	0	1	0	2	0	1
Acsl3	27	68	54	36	23	69
Utp14b	6	9	9	10	6	11
Gm6159	2	4	3	1	4	2
Kcne4	4	16	13	9	5	13
Gm5830	0	2	2	1	1	0
Scg2	0	2	1	1	2	2
Ap1s3	1	1	1	2	0	0
Wdfy1	29	49	67	40	22	113
Mrpl44	61	180	131	65	44	178
Serpine2	295	936	1327	452	335	620
Gm5529	3	7	8	8	5	9
Gm28071	1	0	0	0	0	2
Gm23934	0	0	0	0	0	0
9830004L10Rik	4	0	1	1	0	0
Fam124b	0	2	2	1	0	1
Cul3	126	243	184	130	106	284
Gm37902	0	2	2	1	0	2
Gm37262	0	0	0	2	3	0
Gm6189	0	0	0	0	0	0
Dock10	16	25	16	17	14	19
Gm37645	0	1	0	1	0	0
Gm38062	1	1	1	1	0	2
A630081D01Rik	0	4	1	0	0	1
Gm29124	0	0	5	0	0	3
Nyap2	0	2	1	0	0	0
Gm5530	0	1	1	1	0	1
Gm7516	2	7	2	4	2	28
Irs1	34	99	171	55	55	98
Gm9747	1	7	5	3	2	4
Rhbdd1	26	77	62	43	30	80
Gm19552	0	1	0	0	0	3
Gm28940	1	0	0	0	1	1
Col4a4	15	58	86	30	22	54
Col4a3	10	17	11	5	4	12
C430014B12Rik	3	6	6	3	5	3
Mff	131	325	307	180	154	316
Gm28941	0	2	3	0	0	0
Gm17764	0	2	0	1	0	0
Agfg1	75	106	113	85	76	194
A030005L19Rik	1	3	1	2	0	1
Gm7553	0	2	1	0	0	0
Slc19a3	1	5	3	0	1	0
