	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1HV1	OvaryPNAF1HV2	OvaryPNAF1HV3
Tmem198	3	5	11	4	9	5
Inha	749	2256	3630	2390	1987	1761
Gm15181	0	0	1	0	0	0
Stk11ip	28	80	60	65	50	53
Slc4a3	42	167	78	123	127	151
Gm5257	0	5	5	2	0	3
Gm17751	0	0	3	2	2	1
Epha4	6	10	10	15	12	8
Gm28387	1	1	0	0	0	0
Sgpp2	8	9	14	11	5	8
Gm28410	1	8	8	12	9	2
Gm37884	0	0	1	0	0	0
Farsb	91	167	128	147	164	131
4833412K13Rik	8	13	20	12	9	6
Mogat1	0	1	0	2	0	1
Acsl3	27	68	54	61	46	35
Utp14b	6	9	9	11	5	12
Gm6159	2	4	3	5	1	0
Kcne4	4	16	13	8	14	5
Gm5830	0	2	2	2	5	4
Scg2	0	2	1	3	7	1
Ap1s3	1	1	1	0	2	1
Wdfy1	29	49	67	60	60	29
Mrpl44	61	180	131	168	150	118
Serpine2	295	936	1327	801	668	600
Gm5529	3	7	8	8	9	4
Gm28071	1	0	0	0	1	0
Gm23934	0	0	0	1	0	0
9830004L10Rik	4	0	1	2	1	0
Fam124b	0	2	2	1	1	0
Cul3	126	243	184	209	195	143
Gm37902	0	2	2	2	4	2
Gm37262	0	0	0	0	1	0
Gm6189	0	0	0	0	2	0
Dock10	16	25	16	25	44	17
Gm37645	0	1	0	4	0	1
Gm38062	1	1	1	0	0	1
A630081D01Rik	0	4	1	1	1	2
Gm29124	0	0	5	0	1	1
Nyap2	0	2	1	0	0	0
Gm5530	0	1	1	0	0	0
Gm7516	2	7	2	5	5	6
Irs1	34	99	171	79	67	48
Gm9747	1	7	5	6	3	2
Rhbdd1	26	77	62	92	81	51
Gm19552	0	1	0	0	1	1
Gm28940	1	0	0	0	1	0
Col4a4	15	58	86	51	53	52
Col4a3	10	17	11	11	14	7
C430014B12Rik	3	6	6	6	5	5
Mff	131	325	307	310	269	218
Gm28941	0	2	3	0	0	2
Gm17764	0	2	0	0	0	0
Agfg1	75	106	113	101	111	74
A030005L19Rik	1	3	1	1	2	0
Gm7553	0	2	1	0	0	0
Slc19a3	1	5	3	2	1	1
Gm7539	3	3	5	2	2	2
