	OvaryPrepubertalDHT1	OvaryPrepubertalDHT2	OvaryPrepubertalDHT3	OvaryPrepubertalDHT4	OvaryPrepubertalCNT2	OvaryPrepubertalCNT3	OvaryPrepubertalCNT4
4930578M01Rik	3	2	4	9	18	8	1
Gm8973	4	6	4	8	9	10	10
Tuba1c	778	248	680	508	746	767	464
Prph	15	3	14	10	5	5	4
Troap	16	4	12	18	14	7	6
C1ql4	0	0	0	0	0	0	0
D0jc22	2	0	1	3	1	0	0
Spats2	95	33	75	91	93	79	38
Gm25183	1	0	1	1	0	1	0
Kcnh3	4	7	2	10	2	5	1
Mcrs1	134	51	97	135	112	107	59
1700120C14Rik	38	13	19	11	21	24	14
Fam186b	1	0	2	1	3	2	1
Prpf40b	91	38	59	95	54	39	24
Fmnl3	80	13	78	40	71	56	56
AC118646.1	0	0	0	0	0	0	0
Gm22951	1	0	0	1	1	4	0
Tmbim6	962	380	876	777	674	663	445
AC118646.2	0	0	0	0	0	0	0
Nckap5l	32	11	18	27	21	16	8
Nckap5los	14	2	7	15	11	6	2
AC117831.2	0	0	0	0	0	1	0
Bcdin3d	34	17	18	22	23	22	18
AC117831.1	2	0	1	0	0	0	0
Faim2	2	0	2	3	1	1	0
Gm5808	0	0	1	1	0	1	0
Aqp2	295	22	247	55	8	2	3
Aqp5	43	8	26	11	3	3	1
Racgap1	50	34	47	88	46	55	27
Asic1	1	0	0	0	1	0	0
Smarcd1	77	31	46	86	52	45	26
Gm17349	10	7	11	15	11	8	5
AC134548.2	0	0	0	1	0	0	0
AC134548.1	66	56	46	118	65	61	72
Gm16537	7	2	3	0	6	0	0
Gpd1	23	11	16	20	10	7	6
Cox14	753	342	628	552	596	582	362
Cers5	230	104	189	283	192	147	73
Gm17058	10	8	8	10	4	2	1
Lima1	127	62	109	172	95	101	44
Gm4468	1	1	0	6	0	0	0
Gm17057	2	1	0	1	1	0	0
AC138177.5	1	3	3	8	3	5	5
AC138177.1	0	0	0	0	0	0	0
AC138177.4	0	0	0	1	0	0	0
Uqcrh-ps1	1	1	0	2	1	2	2
Fam186a	0	0	0	0	0	0	0
Gm21917	1	1	1	1	2	1	1
Larp4	178	75	119	183	150	137	43
2310068J16Rik	2	0	3	6	3	1	1
Dip2b	36	31	35	71	34	32	20
AC133868.1	1	0	0	0	1	1	0
AC133868.2	2	1	1	4	2	0	0
Atf1	145	60	126	166	105	88	58
AC124479.1	4	1	2	1	3	0	3
Mettl7a1	162	101	143	194	179	127	86
Mettl7a3	7	1	2	10	5	2	2
Mettl7a2	0	3	2	5	1	2	1
Slc11a2	149	52	109	100	79	63	26
Gm5475	1	0	1	4	1	2	1
5330439K02Rik	2	2	0	1	0	2	0
Letmd1	56	29	61	72	54	51	36
Csrnp2	15	6	17	13	13	17	4
Tfcp2	27	14	25	38	34	27	9
Pou6f1	13	11	24	22	18	23	12
Gm27209	0	0	0	0	1	2	1
AC123724.2	2	2	1	2	1	1	0
AC123724.1	4	1	1	2	0	0	0
C330013E15Rik	9	1	6	2	4	7	8
Dazap2	537	244	489	554	375	355	241
Smagp	21	18	23	25	19	24	14
Bin2	22	15	17	37	16	11	11
Cela1	124	6	94	25	83	80	53
Galnt6	4	7	5	13	3	0	2
AC123724.3	0	0	0	0	1	0	0
Slc4a8	43	19	37	35	22	32	15
Scn8a	3	2	2	3	0	3	1
Fignl2	38	8	30	28	26	27	21
Acvrl1	79	34	55	61	54	47	26
Acvr1b	21	12	18	21	26	17	17
A330009N23Rik	9	8	5	3	7	3	3
AC161812.1	0	0	0	2	0	2	0
Grasp	16	13	17	27	8	9	4
Nr4a1	251	18	165	28	58	71	38
Atg101	200	70	151	134	152	132	75
6030408B16Rik	25	13	26	34	19	20	11
AC163018.2	2	2	3	7	6	2	5
AC163018.1	0	1	0	9	1	1	0
Krt80	2	0	2	0	1	1	0
AC157583.2	1	0	1	0	1	1	0
Krt7	107	55	102	118	45	90	56
Krt87	0	0	1	0	0	0	0
Krt83	1	0	0	2	1	0	0
Krt84	0	0	1	4	0	0	1
Krt75	0	0	0	0	0	0	1
Krt73	1	0	0	0	0	0	0
Krt1	0	0	0	2	0	0	0
Krt76	0	0	1	0	0	0	0
Krt79	13	3	5	9	6	7	2
Krt8	97	40	82	112	57	76	39
AC139844.1	0	0	1	0	1	0	0
Krt18	113	42	84	129	35	80	59
Eif4b	312	183	262	442	333	323	178
Tns2	56	25	47	62	40	37	27
Spryd3	65	21	45	39	27	43	18
Igfbp6	524	261	521	667	403	474	194
Soat2	4	0	4	3	2	1	2
Csad	170	70	140	173	150	137	57
Zfp740	159	59	124	186	142	118	74
Itgb7	7	3	7	8	3	1	5
Rarg	30	15	24	46	13	18	6
Gm9918	1	0	0	0	0	1	1
Mfsd5	56	28	43	53	34	38	21
AC163291.1	1	0	0	0	1	1	1
Espl1	20	12	11	25	22	11	10
Pfdn5	1038	837	889	1300	940	841	577
Myg1	97	47	88	133	99	89	29
Aaas	65	23	53	85	29	52	25
Sp7	0	0	0	0	2	1	0
Sp1	103	41	83	152	88	82	41
Amhr2	224	195	176	434	135	143	63
Gm26518	57	28	39	72	69	70	28
Prr13	265	78	194	198	199	184	131
Pcbp2	516	380	470	687	495	467	242
Map3k12	79	36	69	62	39	44	27
Gm10337	1	0	0	0	0	0	0
Tarbp2	78	41	70	86	48	59	27
Npff	12	4	7	6	2	4	0
Atf7	61	31	41	92	47	51	24
Rpl39-ps	170	198	152	288	315	321	305
AC123870.1	2	1	1	2	2	2	1
Atp5g2	969	523	758	1067	956	947	565
Calcoco1	104	60	107	146	83	72	57
Hoxc11	2	0	0	0	0	0	0
Hoxc10	37	1	28	12	10	7	6
Hoxc5	30	10	19	35	29	23	13
Hoxc9	12	0	12	19	6	0	7
Hoxc8	63	22	79	79	78	59	35
Hoxc6	58	19	39	58	38	39	16
Mir615	0	0	1	0	1	0	1
Hoxc4	39	23	37	46	32	32	26
5730585A16Rik	1	0	0	2	0	3	0
Gm28876	3	0	1	3	1	1	1
Gm10830	0	0	0	0	1	0	0
D930007P13Rik	0	0	0	1	1	1	0
Smug1	44	26	42	51	53	37	17
Cbx5	185	79	146	209	171	151	85
Hnrnpa1	420	263	372	577	393	361	187
Nfe2	1	0	0	0	1	3	4
Copz1	342	123	299	272	257	236	136
Gpr84	1	0	0	1	0	0	1
Zfp385a	25	9	13	19	9	4	6
Itga5	131	27	92	38	76	68	37
Gtsf1	16	11	8	16	6	12	2
Nckap1l	30	31	25	57	20	13	9
Pde1b	31	4	15	7	16	13	9
Ppp1r1a	3	2	2	1	2	3	2
Glycam1	4	12	3	2	2	3	0
Gm9108	3	3	1	3	0	1	1
Gm49273	0	0	0	1	0	1	0
Mucl1	0	0	1	1	0	0	0
Gm21178	11	6	6	8	8	8	11
Mucl2	1	0	0	1	0	2	0
AC191865.2	1	1	0	0	0	0	0
AC127687.1	1	0	2	3	2	0	0
AC127687.2	0	0	0	0	0	0	0
AC140982.1	0	0	0	0	0	1	3
Mefv	0	0	1	1	0	0	0
Tdgf1-ps1	0	0	0	0	0	0	0
Zfp263	42	25	40	53	53	58	29
AC139347.1	0	1	0	1	0	0	0
Zfp174	4	5	3	9	6	9	2
Zfp597	19	9	14	27	23	16	6
Gm26675	0	0	0	0	1	1	0
0a60	76	22	46	53	37	35	17
1700037C18Rik	25	12	31	31	28	22	12
Cluap1	58	45	65	82	71	68	29
Gm15538	5	13	14	14	3	5	13
Gm23493	0	0	0	0	0	0	0
Gm15537	1	3	0	3	1	1	0
Nlrc3	7	2	13	7	19	9	4
Slx4	20	8	17	17	19	13	8
Gm15879	6	3	7	5	12	9	5
D0se1	2	0	1	3	4	1	1
Trap1	266	163	263	287	276	224	148
Crebbp	285	148	222	292	247	227	108
Gm37186	3	0	1	6	4	2	0
Gm5766	2	3	4	6	3	2	8
Adcy9	78	51	49	102	61	73	38
Gm6142	18	14	9	17	10	15	12
Srl	12	5	9	16	5	5	2
Tfap4	10	13	17	24	10	13	6
Glis2	36	23	40	43	36	34	16
Pam16	292	139	232	223	304	263	130
Coro7	40	26	38	52	27	26	15
Vasn	93	22	71	79	34	50	23
D0ja3	105	48	83	94	102	93	59
Nmral1	29	9	14	35	30	15	13
Hmox2	195	88	173	212	171	158	71
Gm15859	5	2	2	3	3	3	1
Cdip1	200	131	161	325	171	157	89
Gm15835	1	0	3	1	3	0	1
4930562C15Rik	3	3	5	11	2	2	3
Ubald1	72	33	52	69	35	41	33
Mgrn1	96	37	68	107	66	64	35
Gm16861	5	1	5	5	4	4	0
Nudt16l1	155	74	131	213	135	135	76
Anks3	125	77	89	139	87	100	52
4930451G09Rik	4	0	1	2	3	4	2
12-Sep	4	3	7	5	0	0	0
Smim22	14	9	10	27	7	11	5
Gm42477	1	1	0	0	1	0	0
Rogdi	109	48	71	89	48	47	28
Glyr1	229	113	211	188	220	210	83
Ubn1	91	35	58	95	78	83	54
Ppl	30	1	33	10	33	31	11
Sec14l5	2	0	1	3	1	2	0
0gpa	70	32	45	69	48	55	19
AU021092	701	600	512	834	216	196	124
Alg1	111	39	87	82	76	90	55
Eef2kmt	118	50	82	97	101	75	51
Gm15983	3	0	0	1	0	0	0
AC124490.1	0	0	1	1	1	1	0
Rbfox1	3	4	1	7	5	3	0
Tmem114	10	2	3	10	5	4	3
Mettl22	18	18	20	45	26	34	16
Abat	117	69	91	154	80	64	47
Gm7541	0	2	0	0	2	1	0
AC115005.1	0	0	0	1	0	0	1
Tmem186	59	50	46	81	44	45	34
Pmm2	95	40	100	114	61	63	43
Carhsp1	310	202	274	485	236	231	127
Gm5767	1	0	0	0	0	0	0
Usp7	140	59	113	188	144	110	65
1810013L24Rik	64	24	66	68	74	62	33
Gm10247	11	4	7	12	12	7	7
AC136987.2	0	0	0	1	0	0	0
AC165274.1	0	0	0	1	1	0	0
Grin2a	0	0	0	0	1	0	0
Rpl39l	10	3	3	7	5	9	4
Atf7ip2	2	3	3	6	4	0	0
AC154256.2	1	0	1	1	0	0	0
Emp2	42	8	46	36	44	43	28
Tekt5	0	0	0	0	0	2	0
Nubp1	75	26	32	54	35	33	32
Tvp23a	12	2	13	3	9	11	4
Ciita	9	10	13	17	10	9	3
Dexi	46	19	22	34	29	23	16
Clec16a	36	9	38	33	26	29	10
Gm15558	1	0	1	3	2	2	0
Socs1	11	4	5	10	4	5	4
Tnp2	0	0	0	0	0	0	0
Prm2	0	0	0	1	1	0	0
Gm10343	27	12	16	24	25	34	20
Gm26822	2	0	0	0	1	2	0
Rmi2	4	8	3	10	10	3	3
Litaf	312	149	281	279	254	207	145
Gm4262	2	1	1	4	1	1	0
AC164093.3	0	0	0	0	1	0	0
Snn	56	28	44	53	36	33	19
Txndc11	66	29	60	80	74	46	37
Zc3h7a	167	85	146	187	192	158	60
Gm23935	49	24	22	43	76	73	27
Gm24145	0	0	2	1	1	0	0
4930509G22Rik	3	1	1	1	3	3	0
Rsl1d1	203	110	184	225	200	198	96
2610020C07Rik	19	2	4	17	12	9	8
Gspt1	165	58	144	172	180	152	82
Tnfrsf17	0	0	0	2	0	0	0
Snx29	22	10	12	27	18	16	11
Gm4279	1	1	0	0	0	0	0
AC154509.1	12	0	13	3	10	2	2
Cpped1	50	29	49	78	59	64	29
Gm9961	3	18	4	26	5	3	0
Shisa9	2	1	1	4	1	1	1
Ercc4	26	19	29	38	27	19	17
Mkl2	63	45	55	113	67	46	35
Gm15738	1	1	0	0	2	1	1
Gm32817	2	0	0	0	1	1	0
Parn	94	42	77	117	86	70	30
Bfar	139	62	132	142	145	139	68
3110001I22Rik	5	1	6	10	2	6	2
Pla2g10	1	0	0	0	0	0	0
Rrn3	59	28	60	81	61	57	34
Ntan1	167	84	116	172	131	136	68
Pdxdc1	165	79	165	174	115	113	67
Mpv17l	30	11	22	22	30	28	9
Gm15950	1	0	1	1	0	1	0
2900011O08Rik	0	0	0	2	0	0	0
Gm15808	7	0	7	0	0	0	4
Marf1	150	35	136	114	125	114	68
Mir484	1	0	2	0	0	1	0
Nde1	149	43	117	98	104	105	56
Myh11	197	104	270	281	296	318	164
Fopnl	178	102	174	209	184	175	70
Gm15868	1	0	0	0	1	0	1
Abcc1	56	15	55	56	67	61	25
A630010A05Rik	0	1	1	1	0	2	0
S0i2	61	33	47	51	52	49	24
Gm25547	0	0	1	0	0	1	1
Efcab1	1	0	1	6	1	2	0
AC166171.1	8	2	3	4	3	3	1
Ube2v2	133	50	95	94	99	94	56
CT010522.2	12	6	7	26	15	14	6
CT010522.1	0	0	0	0	0	1	1
Mcm4	67	30	45	82	59	54	23
Prkdc	39	30	42	64	38	33	27
Mzt2	130	69	110	129	138	133	63
AC154586.1	1	1	0	0	3	2	0
Cebpd	30	21	23	31	9	16	2
Spidr	27	8	22	31	21	22	8
n-R5s31	0	0	0	0	0	0	0
AC113329.1	0	0	0	0	0	0	0
Pkp2	37	18	29	67	36	45	16
AC112943.1	3	3	5	3	5	5	4
Yars2	25	16	20	23	22	24	18
Dnm1l	133	64	120	146	151	124	73
AC112943.2	1	0	1	0	1	1	0
Fgd4	46	41	38	92	64	61	21
Gm16139	0	0	0	1	0	0	0
Spag6l	0	0	0	0	0	0	0
Rpl31-ps12	42	26	25	42	46	42	69
Vpreb1	6	2	3	2	3	2	2
Top3b	96	34	57	108	76	51	34
Ppm1f	65	26	65	59	66	58	35
AC166832.3	0	3	2	5	11	16	1
AC166832.2	0	0	0	0	0	0	0
AC166832.1	1	0	1	0	1	1	4
Mapk1	312	117	269	249	244	226	129
1700056N10Rik	9	3	7	16	18	9	5
Ypel1	21	12	29	43	30	31	12
Gm9974	0	0	0	0	0	0	0
Ppil2	231	130	215	260	205	177	104
AC154667.1	1	0	0	0	1	0	0
2610318N02Rik	3	2	4	1	3	5	2
Mir130b	0	0	0	0	0	1	0
Sdf2l1	101	32	80	71	45	55	45
AC154667.2	5	11	4	18	32	26	21
Ccdc116	1	0	0	4	2	0	0
Ydjc	17	8	8	11	21	18	10
Ube2l3	464	182	432	385	374	422	206
Rimbp3	0	0	0	0	1	0	1
Hic2	12	7	4	26	15	9	7
Gm26635	2	1	4	5	6	1	0
Tmem191c	26	31	27	26	23	16	9
Pi4ka	142	58	96	140	102	105	58
Serpind1	0	0	0	0	1	0	0
Gm24927	1	0	0	0	0	0	0
S0p29	69	31	48	54	53	48	33
Crkl	56	26	47	49	52	59	26
Aifm3	12	11	6	21	8	2	2
Lztr1	78	49	93	148	128	117	69
Thap7	85	49	81	94	72	63	31
AC113006.1	7	2	11	11	6	6	3
Lrrc74b	1	2	2	3	2	2	0
P2rx6	25	7	17	11	18	28	13
Slc7a4	63	29	47	62	45	51	21
Smpd4	50	32	48	91	43	49	21
Ccdc74a	1	0	1	4	0	1	1
Med15	94	50	93	131	74	64	38
AC087802.1	0	0	1	1	0	0	1
AC087802.5	0	1	0	0	0	1	1
Rpl26-ps4	1	2	1	2	1	0	1
AC087802.2	2	2	1	2	3	4	1
AC087802.4	2	1	3	0	0	2	1
Klhl22	103	39	78	115	101	72	48
Scarf2	11	10	8	20	8	18	7
AC078895.2	0	0	1	0	1	0	1
AC078895.1	0	0	1	0	0	0	2
Car15	1	0	0	1	2	0	1
Gm20518	1	0	0	0	1	1	0
Dgcr2	80	39	74	117	90	75	38
Tssk1	1	0	0	0	0	3	0
Dgcr14	48	25	35	62	40	39	17
AA914427	2	3	2	7	5	5	1
Slc25a1	330	75	284	177	207	238	111
Vpreb2	0	0	0	0	2	0	0
Dgcr6	149	67	86	129	75	95	69
Prodh	18	11	17	32	18	23	7
Rtn4r	0	1	1	0	0	0	1
4933432I09Rik	1	0	0	0	0	0	0
Zdhhc8	63	28	40	74	46	39	24
Ranbp1	237	121	223	271	199	213	87
Gm25777	0	1	0	1	0	1	1
Trmt2a	81	36	69	91	70	55	47
Dgcr8	56	31	47	89	40	32	32
Tango2	78	31	73	89	78	64	39
Arvcf	83	12	85	42	66	64	31
Comt	261	108	221	235	232	200	123
Gm15764	16	10	10	24	13	4	1
Txnrd2	69	37	39	65	55	54	35
AC133487.1	0	0	2	2	2	2	0
Gnb1l	10	6	9	10	7	12	3
Rtl10	1	1	0	3	0	0	0
Tbx1	0	2	0	1	0	0	0
AC133488.1	0	0	0	0	1	0	0
05-Sep	21	4	10	4	5	8	4
AC083895.1	2	1	4	1	4	1	0
Cldn5	245	151	235	351	330	319	159
Cdc45	18	13	26	30	23	27	6
Ufd1	211	82	141	180	172	141	77
2510002D24Rik	51	16	46	51	59	39	23
Mrpl40	186	59	135	139	175	185	83
Hira	35	22	32	39	26	30	20
Gm15799	0	1	3	1	1	1	0
Gm15798	1	1	3	2	4	1	1
Gm10088	1	1	0	0	0	1	0
2010309G21Rik	0	0	0	0	0	0	0
Iglc1	0	1	0	2	0	1	0
Iglc3	3	3	0	7	7	0	1
Iglj3	1	1	1	0	0	1	0
Iglv1	4	0	3	10	11	2	1
Iglc2	1	0	2	6	1	3	0
Gm42870	0	0	0	0	0	0	0
Iglv3	0	0	0	0	0	0	0
Iglv2	0	0	0	6	0	3	0
Lamp3	0	1	2	0	0	0	0
B3gnt5	0	0	0	1	0	1	0
A930003A15Rik	1	0	0	0	0	1	0
Klhl6	17	5	18	19	10	12	6
Klhl24	142	83	106	216	129	146	90
Yeats2	99	61	90	122	107	89	54
Gm10241	30	9	28	32	36	35	3
Map6d1	5	1	3	6	1	4	0
AC120150.1	0	0	0	0	1	1	0
Parl	194	89	156	230	137	134	65
Abcc5	121	56	80	111	88	76	53
Eif2b5	57	29	45	66	48	44	27
Dvl3	47	21	46	79	57	48	32
Ap2m1	576	189	518	365	440	379	182
Gm15760	12	6	16	10	10	10	7
Abcf3	127	38	91	104	65	69	44
AC087898.2	0	1	0	0	0	1	0
Vwa5b2	0	0	1	2	0	0	0
Alg3	91	34	95	65	49	50	28
Eef1akmt4	8	1	6	10	7	8	1
Camk2n2	4	4	6	5	7	0	4
Ece2	2	1	4	4	1	0	1
Psmd2	371	134	323	292	327	309	172
Gm4462	10	4	7	9	8	4	10
Eif4g1	406	198	364	332	383	312	190
Fam131a	36	8	24	20	19	23	11
Clcn2	48	11	30	58	23	19	11
Polr2h	199	102	185	197	166	224	97
Thpo	1	0	0	0	2	1	1
Chrd	18	1	12	12	8	11	2
CT010490.2	0	0	0	0	0	1	0
CT010490.3	1	0	0	0	0	1	0
CT010490.1	0	0	0	0	0	0	0
Rps10-ps2	346	182	297	517	579	552	168
AC158985.3	0	0	0	0	0	0	0
Ephb3	22	7	13	13	8	4	5
Magef1	28	17	30	40	35	34	11
Vps8	43	24	25	55	33	30	13
2510009E07Rik	88	26	51	81	54	49	31
Ehhadh	12	8	19	22	15	19	10
1300002E11Rik	48	23	33	63	23	49	10
Map3k13	5	2	5	6	4	2	0
AC114990.1	0	0	1	2	2	2	2
Tmem41a	28	9	23	22	21	21	12
Liph	2	0	0	1	0	1	0
Senp2	67	36	48	91	46	48	28
Gm4943	1	3	0	5	0	2	1
Igf2bp2	10	7	8	12	4	12	2
Gm5809	8	0	5	0	3	0	0
Gm26980	0	0	1	0	0	0	1
CT009567.1	0	0	0	1	0	0	0
Tra2b	347	168	318	401	351	310	151
Gng5-ps	36	33	30	47	48	45	46
Etv5	31	17	20	48	24	23	14
Dgkg	1	0	0	1	1	2	1
CT009627.3	3	1	7	8	2	1	3
Gm15651	0	1	1	1	1	0	0
AC164296.1	0	1	2	2	0	1	0
Crygs	0	0	0	0	0	0	0
Tbccd1	32	19	32	23	23	22	19
D0jb11	156	59	132	115	116	115	63
CT027991.1	0	0	0	1	0	1	0
Ahsg	23	7	27	9	13	22	6
Fetub	34	19	36	31	9	12	8
Hrg	0	0	0	0	0	0	1
Kng2	1	0	1	0	1	0	0
Gm6493	2	0	0	0	2	0	0
AC154540.2	103	124	105	163	200	171	175
Kng1	0	1	0	0	0	1	1
AC154540.1	3	0	0	0	0	1	1
Eif4a2	781	509	680	1094	915	779	400
Gm24616	2	0	1	0	2	1	2
Rfc4	48	22	50	69	51	41	29
AC125396.2	4	2	2	3	2	1	0
Adipoq	10	12	13	165	18	23	6
B630019A10Rik	1	1	1	2	0	3	0
Gm6630	12	6	4	3	11	7	9
BC106179	8	1	4	11	19	2	3
St6gal1	255	71	196	177	206	154	109
Masp1	62	33	45	52	35	31	27
AC154571.1	2	0	2	1	2	0	3
Gm45338	2	2	1	3	3	2	1
Rtp4	95	54	80	93	101	106	50
Gm6640	0	0	0	0	0	0	0
Sst	0	0	0	0	0	0	0
Bcl6	54	14	38	52	45	28	14
Gm37419	0	0	0	0	0	2	0
AC169509.1	2	0	2	2	2	0	1
AC169509.2	2	0	1	1	5	1	2
Lppos	12	7	10	9	13	5	6
Lpp	527	141	513	359	650	623	325
Gm24440	0	0	0	0	0	2	0
AC115954.1	56	31	43	56	55	56	31
Mir28a	0	1	2	1	2	2	0
Gm22672	2	0	1	5	5	5	0
A230028O05Rik	0	1	2	1	1	2	0
Tprg	1	0	0	4	1	1	0
Trp63	3	1	2	15	3	4	0
Gm4524	2	3	3	4	2	0	0
P3h2	30	8	22	37	22	14	10
AU015336	1	0	0	0	0	0	1
Cldn1	11	5	11	13	9	7	4
Il1rap	28	7	21	29	18	22	9
Gm20319	0	0	0	0	0	0	0
Ccdc50	191	102	139	232	153	152	96
Fgf12	0	0	1	2	0	0	0
Mb21d2	32	8	24	12	27	18	9
AC154807.1	6	5	2	12	12	4	7
Hrasls	2	0	1	0	3	1	0
Atp13a5	0	1	0	1	0	0	0
Opa1	81	49	80	108	95	79	51
AC154438.1	0	0	0	0	0	0	0
CT025592.1	1	1	2	4	0	2	0
Gm26569	5	2	5	11	3	2	1
Gm1968	3	2	1	1	1	4	1
4632428C04Rik	2	2	1	3	0	1	0
Hes1	76	57	51	100	71	64	56
CT030736.1	0	0	0	1	0	0	0
AC163355.1	0	1	1	1	3	2	0
1700025H01Rik	0	0	0	0	0	2	0
Cpn2	0	0	0	0	0	1	0
Gp5	0	0	0	0	1	0	0
Atp13a3	140	32	92	73	114	121	50
Tmem44	16	7	23	17	18	22	10
Lsg1	78	29	57	105	56	52	31
Fam43a	68	28	72	76	44	35	14
CT009704.1	0	0	0	0	0	0	0
Gm26295	0	3	1	0	0	0	0
AC163720.1	0	1	0	1	0	0	1
AC163720.3	0	0	1	0	0	1	0
AC126280.1	2	1	0	1	1	0	1
Xxylt1	53	34	58	61	75	58	35
Acap2	107	42	99	105	115	107	31
AC130815.3	2	0	6	0	7	2	0
Ppp1r2	196	92	184	175	172	161	60
AC130815.2	2	1	0	2	2	2	0
Apod	2	4	1	8	2	3	0
Bdh1	51	11	58	31	31	32	16
Gm15743	0	0	0	0	1	0	0
AC161376.1	0	1	2	0	0	0	0
AC161376.2	0	0	0	0	0	1	0
AC126055.1	1	0	1	0	1	1	1
Dlg1	105	37	87	92	100	89	38
AC126055.2	1	0	0	0	2	1	0
AC129214.1	2	1	0	3	2	2	1
AC129214.2	0	0	0	1	8	3	0
Meltf	3	0	4	0	0	0	1
Gm15703	12	2	6	2	3	1	5
Pigz	1	0	0	3	0	1	1
0610012G03Rik	196	73	154	174	155	153	62
Ncbp2	171	125	191	203	215	217	95
Senp5	61	27	49	61	44	52	27
Gm15696	2	3	4	6	4	3	2
Gm26269	0	0	0	1	0	0	0
AC124681.2	1	0	0	0	0	0	0
Gm15694	1	0	1	0	1	0	0
Hmgb1-ps6	0	2	1	6	5	2	0
Pak2	212	87	164	219	185	172	68
Pigx	78	34	80	105	73	91	34
Cep19	64	28	55	63	60	40	26
Nrros	29	23	20	43	19	22	14
Fbxo45	36	33	36	51	29	33	11
Gm25848	0	0	0	0	1	1	0
Wdr53	62	29	54	69	56	53	19
Smco1	0	0	0	0	0	1	0
Rnf168	34	16	48	47	57	57	30
AC087556.2	0	0	0	1	0	0	0
Ubxn7	116	44	101	145	104	113	54
Tm4sf19	0	1	1	2	0	0	0
Gm20056	0	0	0	2	2	0	0
Tctex1d2	68	45	79	99	104	68	42
Pcyt1a	257	37	208	67	235	210	135
Slc51a	2	0	0	0	0	0	0
AC140186.1	1	0	0	1	3	2	0
Tfrc	71	22	61	45	46	45	29
Tnk2	40	25	25	39	39	35	27
Muc4	0	0	0	2	1	0	0
Muc20	0	0	0	0	0	1	0
Rubcn	69	35	34	84	33	35	19
Fyttd1	119	53	96	112	118	117	55
Lrch3	89	45	64	106	57	71	29
Gm6611	0	0	0	0	0	0	0
Gm17106	0	2	2	1	0	0	0
Iqcg	10	4	9	12	12	9	1
Rpl35a	1627	1037	1449	1912	2076	1981	1093
Lmln	42	18	30	27	36	23	18
Osbpl11	87	29	67	104	70	55	32
Snx4	196	83	171	163	182	146	88
1700007L15Rik	14	9	20	16	17	16	9
Zfp148	141	86	115	186	154	160	62
Slc12a8	126	7	109	21	101	190	65
Heg1	1147	231	940	402	646	839	450
Gm15657	16	3	11	4	12	15	3
Muc13	2	0	1	1	0	1	3
AC155268.1	0	0	0	0	0	1	2
Itgb5	202	82	133	199	105	91	68
Umps	156	58	136	158	144	128	79
Gm15829	0	1	1	1	1	0	0
Kalrn	40	17	49	46	58	53	26
AC165079.1	50	19	35	51	67	54	63
Ccdc14	8	8	6	21	8	5	5
Mylk	564	331	636	717	932	988	515
1700119H24Rik	0	1	1	1	1	0	0
AC110166.1	7	2	3	12	10	11	2
AC110166.2	10	2	11	9	8	15	1
Hacd2	219	72	183	151	95	110	59
Adcy5	20	19	22	43	18	21	9
Gm25179	3	5	2	1	21	12	10
Sec22a	56	43	75	81	72	74	39
AC154654.1	7	3	5	5	4	4	4
Pdia5	44	22	40	45	18	35	21
Sema5b	6	6	6	6	7	14	4
Gm5963	37	25	23	43	40	32	50
Dirc2	41	28	37	64	45	41	18
Hspbap1	27	9	13	26	17	17	6
AC129574.1	0	0	0	1	0	0	0
Parp14	54	24	38	60	58	56	26
AC129574.2	1	1	1	3	0	1	0
AC129574.3	2	2	1	1	1	1	2
Gm10237	10	5	7	26	30	21	10
Dtx3l	34	21	26	38	25	25	15
Parp9	32	22	34	45	36	24	20
Gm15564	790	427	562	911	1010	827	923
Kp01	79	26	59	72	68	62	32
Wdr5b	18	7	6	21	16	18	5
Fam162a	571	276	488	550	498	588	239
Ccdc58	146	90	112	162	140	160	57
Csta1	1	0	0	0	0	0	0
Gm10913	5	2	2	3	2	2	3
2010005H15Rik	3	0	0	1	1	1	1
AC117662.3	0	1	1	0	1	0	0
Cd86	5	7	5	14	7	5	4
Ildr1	0	2	0	1	0	0	0
Slc15a2	12	5	3	8	4	5	3
Gm8425	3	1	1	0	4	0	4
Eaf2	5	6	8	8	7	7	5
Iqcb1	42	29	28	86	48	35	23
AC154232.1	3	3	4	7	5	3	2
Golgb1	250	92	204	301	265	246	114
AC154232.2	10	2	4	17	13	8	7
4930565N06Rik	0	0	1	1	0	0	0
AC154763.2	0	0	0	0	1	0	0
Hcls1	39	24	46	45	14	21	19
Fbxo40	1	2	3	3	0	0	0
Polq	7	3	7	12	5	5	2
Stxbp5l	0	0	3	1	1	2	1
Gtf2e1	49	24	43	57	38	30	11
Rabl3	29	17	28	43	36	32	17
AC154762.1	0	1	0	0	0	0	0
Hgd	1	0	0	0	0	1	1
Ndufb4	286	190	224	355	283	275	124
AC129539.1	327	324	298	493	614	596	424
Fstl1	290	84	293	187	273	320	214
Gm36028	6	5	2	14	2	1	1
Lrrc58	311	132	229	317	263	269	162
Gpr156	0	0	1	3	1	0	1
Gsk3b	155	103	130	177	148	149	70
Gm27931	0	0	2	0	0	0	0
Nr1i2	1	0	1	2	1	0	0
Maats1	9	3	6	1	5	4	4
Cox17	42	24	36	35	50	72	39
Popdc2	8	5	11	15	6	8	0
Pla1a	118	31	113	59	110	156	50
Adprh	229	102	230	220	231	214	116
D930030I03Rik	2	2	0	4	2	5	1
Cd80	0	1	0	2	0	4	0
